PC,Shock Type,1M,3M,6M,1Y,2Y,5Y,10Y,20Y,30Y
PC1 – Level,1-sigma,1.9548180410999494,2.175537453325941,2.44558401016649,3.164617686562684,4.469119633362738,5.450767492661355,5.14189912366456,4.657217898470399,4.433310489513562
PC1 – Level,2-sigma,3.9096360821998988,4.351074906651882,4.89116802033298,6.329235373125368,8.938239266725477,10.90153498532271,10.28379824732912,9.314435796940797,8.866620979027124
PC1 – Level,-1-sigma,-1.9548180410999494,-2.175537453325941,-2.44558401016649,-3.164617686562684,-4.469119633362738,-5.450767492661355,-5.14189912366456,-4.657217898470399,-4.433310489513562
PC1 – Level,-2-sigma,-3.9096360821998988,-4.351074906651882,-4.89116802033298,-6.329235373125368,-8.938239266725477,-10.90153498532271,-10.28379824732912,-9.314435796940797,-8.866620979027124
PC1 – Level,Historical +Extreme,21.166080954705922,23.555952978202136,26.479921942807373,34.265365234090936,48.390052663313234,59.01898979305089,55.674671925565086,50.42671440011011,48.002323871326084
PC1 – Level,Historical -Extreme,-17.352677603249862,-19.311976484582726,-21.70914631839753,-28.09191919548941,-39.671821385718765,-48.38578783384114,-45.64400158245829,-41.34154638493517,-39.353948051526736
PC2 – Slope,1-sigma,-4.036524044613073,-3.3189760928369227,-2.283246763238032,-1.5638403452506267,-0.14216654956529545,1.3116928355376134,2.1156971363338832,2.386694804339201,2.393703005799779
PC2 – Slope,2-sigma,-8.073048089226146,-6.6379521856738455,-4.566493526476064,-3.1276806905012533,-0.2843330991305909,2.623385671075227,4.2313942726677665,4.773389608678402,4.787406011599558
PC2 – Slope,-1-sigma,4.036524044613073,3.3189760928369227,2.283246763238032,1.5638403452506267,0.14216654956529545,-1.3116928355376134,-2.1156971363338832,-2.386694804339201,-2.393703005799779
PC2 – Slope,-2-sigma,8.073048089226146,6.6379521856738455,4.566493526476064,3.1276806905012533,0.2843330991305909,-2.623385671075227,-4.2313942726677665,-4.773389608678402,-4.787406011599558
PC2 – Slope,Historical +Extreme,-48.06709851070446,-39.52250724778171,-27.188998722619957,-18.622276765697155,-1.692925266232879,15.619693589020947,25.19381070123769,28.420862357616816,28.504316316088342
PC2 – Slope,Historical -Extreme,56.12749749672955,46.15005888321576,31.748337324804112,21.745056908673256,1.9768128634075015,-18.23896885771496,-29.4185750935619,-33.186772870777425,-33.28422127083344
PC3 – Curvature,1-sigma,-4.047632419219638,-0.7192589843489684,0.7437147805976704,1.36470873312966,1.6293556803858096,0.5126886073008399,-0.6003200739267327,-1.232677858008252,-1.4073323508242361
PC3 – Curvature,2-sigma,-8.095264838439276,-1.4385179686979368,1.4874295611953408,2.72941746625932,3.258711360771619,1.0253772146016797,-1.2006401478534654,-2.465355716016504,-2.8146647016484723
PC3 – Curvature,-1-sigma,4.047632419219638,0.7192589843489684,-0.7437147805976704,-1.36470873312966,-1.6293556803858096,-0.5126886073008399,0.6003200739267327,1.232677858008252,1.4073323508242361
PC3 – Curvature,-2-sigma,8.095264838439276,1.4385179686979368,-1.4874295611953408,-2.72941746625932,-3.258711360771619,-1.0253772146016797,1.2006401478534654,2.465355716016504,2.8146647016484723
PC3 – Curvature,Historical +Extreme,-37.92452250770542,-6.739138023326427,6.968277999297015,12.786716209772875,15.266340856555003,4.80366510918831,-5.6247331272860706,-11.549645404756632,-13.186080623631739
PC3 – Curvature,Historical -Extreme,62.24216665008922,11.060351566472898,-11.43641875539165,-20.985707099525822,-25.05529585870727,-7.883830948605078,9.231377312652663,18.95541213172137,21.641148612242773
