instrument,type,maturity_years,coupon_rate,ytm,notional,price,dv01,modified_duration,convexity
2Y Treasury Note,bond,2.0,0.0348,0.0348,1000000,1000000.0,191.5704567459179,1.9159379107997103,4.667323594912887
10Y Treasury Note,bond,10.0,0.0408,0.0408,1000000,1000000.0,814.0323500741506,8.144245146966846,78.46019268035889
30Y Treasury Bond,bond,30.0,0.0472,0.0472,1000000,1000000.0,1594.1097409037175,15.95957465236069,369.8720341781154
5Y Receive-Fixed Swap,swap,5.0,0.0365,0.0365,1000000,0.0,453.15043000807054,4.532695029069061,23.819193965755403
