PC,Mean,Std Dev,1-sigma,2-sigma,5th pctile,95th pctile,1st pctile,99th pctile,Historical Min,Historical Max
PC1 – Level,1.6130368575711695e-16,2.289157335200343,2.289157335200343,4.578314670400686,-3.4441955235811914,3.4664528403686967,-6.371368670970677,5.825098924092456,-20.32056610163805,24.78618902434816
PC2 – Slope,-8.065184287855848e-17,1.4260247518002374,1.4260247518002374,2.8520495036004747,-1.6862840935127084,1.7958487136820185,-3.7681354012140735,3.8630722470483105,-19.828743691929244,16.98116286832508
PC3 – Curvature,-1.979330643977956e-16,0.8985274873298807,0.8985274873298807,1.7970549746597615,-1.1497563524127168,1.1365924729338466,-2.454654219165201,2.3576589062722473,-13.817039645327938,8.418804473258907
