,1M,3M,6M,1Y,2Y,5Y,10Y,20Y,30Y
PC1 – Level,0.1309887417827165,0.21014091647823896,0.288319131042024,0.3478145103415295,0.3806765125894602,0.4068713630858305,0.3969264141597536,0.3716970286028913,0.3583458066622066
PC2 – Slope,-0.4341939374003236,-0.514631968913004,-0.43210799730556015,-0.27590999783137815,-0.019439276809024214,0.157173814176092,0.2621733395376378,0.30577924107885135,0.3105939720506528
PC3 – Curvature,-0.6909919268847603,-0.17700014767428007,0.22337859890223613,0.38212961047779714,0.35358536107772565,0.0974983821425852,-0.1180629389807075,-0.25064347442946355,-0.28981117322871813
